"","GEOID20","DISTRICTNO"
"1","42001000170",7
"2","42001000190",7
"3","42001000200",7
"4","42001000260",7
"5","42001000230",7
"6","42001000270",7
"7","42001000310",7
"8","42001000320",7
"9","42001000330",7
"10","42001000370",7
"11","42001000380",7
"12","42001000390",7
"13","42001000425",7
"14","42001000450",7
"15","42001000440",7
"16","42001000460",7
"17","42001000480",7
"18","42001000240",7
"19","42001000280",7
"20","42001000340",7
"21","42001000360",7
"22","42001000350",7
"23","42001000385",7
"24","42001000400",7
"25","42001000410",7
"26","42001000427",7
"27","42001000290",7
"28","42001000010",7
"29","42001000040",7
"30","42001000020",7
"31","42001000030",7
"32","42001000050",7
"33","42001000070",7
"34","42001000490",7
"35","42001000082",7
"36","42001000078",7
"37","42001000060",7
"38","42001000090",7
"39","42001000100",7
"40","42001000130",7
"41","42001000110",7
"42","42001000120",7
"43","42001000140",7
"44","42001000150",7
"45","42001000160",7
"46","42001000180",7
"47","42079000025",11
"48","42079000010",11
"49","42079000060",11
"50","42079000050",11
"51","42079000070",11
"52","42079000083",11
"53","42079000080",11
"54","42079000088",11
"55","42079000095",11
"56","42079000120",11
"57","42079000180",11
"58","42051000536",13
"59","42051001072",13
"60","42035000010",12
"61","42035000020",12
"62","42035000030",12
"63","42035000370",12
"64","42035000040",12
"65","42035000050",12
"66","42035000060",12
"67","42035000070",12
"68","42035000080",12
"69","42035000090",12
"70","42035000100",12
"71","42035000110",12
"72","42035000120",12
"73","42035000130",12
"74","42035000140",12
"75","42035000150",12
"76","42035000160",12
"77","42035000170",12
"78","42035000180",12
"79","42035000210",12
"80","42035000190",12
"81","42035000220",12
"82","42035000200",12
"83","42035000230",12
"84","42035000250",12
"85","42035000265",12
"86","42035000240",12
"87","42035000280",12
"88","42035000290",12
"89","42035000300",12
"90","42035000315",12
"91","42035000340",12
"92","42035000350",12
"93","42035000360",12
"94","42089000162",10
"95","42089000164",10
"96","42115000010",11
"97","42115000020",11
"98","42115000430",11
"99","42115000030",11
"100","42115000360",11
"101","42115000040",11
"102","42115000050",11
"103","42115000060",11
"104","42067000010",13
"105","42067000020",13
"106","42067000030",13
"107","42067000200",13
"108","42067000040",13
"109","42067000050",13
"110","42067000071",13
"111","42067000090",13
"112","42067000100",13
"113","42067000110",13
"114","42067000120",13
"115","42067000130",13
"116","42067000140",13
"117","42067000150",13
"118","42067000160",13
"119","42067000170",13
"120","42067000180",13
"121","42067000190",13
"122","42025000015",11
"123","42025000040",11
"124","42025000050",10
"125","42025000062",10
"126","42025000070",11
"127","42025000058",11
"128","42025000100",11
"129","42025000090",11
"130","42025000460",11
"131","42025000080",11
"132","42025000130",11
"133","42025000120",11
"134","42025000110",11
"135","42025000140",11
"136","42025000150",11
"137","42025000160",11
"138","42025000180",11
"139","42025000200",11
"140","42025000190",11
"141","42025000210",11
"142","42025000220",11
"143","42025000170",11
"144","42025000240",11
"145","42025000250",11
"146","42025000230",11
"147","42025000258",10
"148","42025000262",10
"149","42025000280",11
"150","42025000270",11
"151","42025000290",11
"152","42025000310",11
"153","42025000300",11
"154","42025000320",11
"155","42025000340",10
"156","42025000350",10
"157","42025000330",10
"158","42025000360",11
"159","42025000376",11
"160","42025000390",11
"161","42025000400",11
"162","42025000380",11
"163","42025000420",10
"164","42025000410",11
"165","42025000428",10
"166","42025000432",10
"167","42025000371",11
