"","GEOID20","DISTRICTNO"
"1","42001000170",12
"2","42001000190",12
"3","42001000200",12
"4","42001000260",12
"5","42001000230",12
"6","42001000270",12
"7","42001000310",12
"8","42001000320",12
"9","42001000330",12
"10","42001000370",12
"11","42001000380",12
"12","42001000390",12
"13","42001000425",12
"14","42001000450",12
"15","42001000440",12
"16","42001000460",12
"17","42001000480",12
"18","42001000240",12
"19","42001000280",12
"20","42001000340",12
"21","42001000360",12
"22","42001000350",12
"23","42001000385",12
"24","42001000400",12
"25","42001000410",12
"26","42001000427",12
"27","42001000290",12
"28","42001000010",12
"29","42001000040",12
"30","42001000020",12
"31","42001000030",12
"32","42001000050",12
"33","42001000070",12
"34","42001000490",12
"35","42001000082",12
"36","42001000078",12
"37","42001000060",12
"38","42001000090",12
"39","42001000100",12
"40","42001000130",12
"41","42001000110",12
"42","42001000120",12
"43","42001000140",12
"44","42001000150",12
"45","42001000160",12
"46","42001000180",12
"47","42079000025",8
"48","42079000010",8
"49","42079000060",8
"50","42079000050",8
"51","42079000070",8
"52","42079000083",8
"53","42079000080",8
"54","42079000088",8
"55","42079000095",8
"56","42079000120",8
"57","42079000180",8
"58","42051000536",14
"59","42051001072",14
"60","42035000010",11
"61","42035000020",11
"62","42035000030",11
"63","42035000370",11
"64","42035000040",11
"65","42035000050",11
"66","42035000060",11
"67","42035000070",11
"68","42035000080",11
"69","42035000090",11
"70","42035000100",11
"71","42035000110",13
"72","42035000120",11
"73","42035000130",11
"74","42035000140",11
"75","42035000150",11
"76","42035000160",11
"77","42035000170",13
"78","42035000180",11
"79","42035000210",11
"80","42035000190",11
"81","42035000220",11
"82","42035000200",11
"83","42035000230",11
"84","42035000250",11
"85","42035000265",11
"86","42035000240",11
"87","42035000280",11
"88","42035000290",11
"89","42035000300",11
"90","42035000315",11
"91","42035000340",11
"92","42035000350",11
"93","42035000360",13
"94","42089000162",8
"95","42089000164",8
"96","42115000010",11
"97","42115000020",11
"98","42115000430",11
"99","42115000030",11
"100","42115000360",11
"101","42115000040",11
"102","42115000050",11
"103","42115000060",11
"104","42067000010",12
"105","42067000020",12
"106","42067000030",12
"107","42067000200",12
"108","42067000040",12
"109","42067000050",12
"110","42067000071",12
"111","42067000090",12
"112","42067000100",12
"113","42067000110",12
"114","42067000120",12
"115","42067000130",12
"116","42067000140",12
"117","42067000150",12
"118","42067000160",12
"119","42067000170",12
"120","42067000180",12
"121","42067000190",12
"122","42025000015",7
"123","42025000040",7
"124","42025000050",7
"125","42025000062",7
"126","42025000070",7
"127","42025000058",7
"128","42025000100",7
"129","42025000090",7
"130","42025000460",7
"131","42025000080",7
"132","42025000130",7
"133","42025000120",7
"134","42025000110",7
"135","42025000140",7
"136","42025000150",7
"137","42025000160",7
"138","42025000180",7
"139","42025000200",7
"140","42025000190",7
"141","42025000210",7
"142","42025000220",7
"143","42025000170",7
"144","42025000240",7
"145","42025000250",7
"146","42025000230",7
"147","42025000258",7
"148","42025000262",7
"149","42025000280",7
"150","42025000270",7
"151","42025000290",7
"152","42025000310",7
"153","42025000300",7
"154","42025000320",7
"155","42025000340",7
"156","42025000350",7
"157","42025000330",7
"158","42025000360",7
"159","42025000376",7
"160","42025000390",7
"161","42025000400",7
"162","42025000380",7
"163","42025000420",7
"164","42025000410",7
"165","42025000428",7
"166","42025000432",7
"167","42025000371",7
"168","42025000363",7
"169","42025000379",7
"170","42025000367",7
"171","42025000450",7
"172","42025000440",7
"173","42081000742",11
"174","42081000075",11
"175","42081000712",11
"176","42081000732",11
"177","42081000772",11
"178","42081000692",11
"179","42081000802",11
"180","42081000722",11
"181","42081000682",11
"182","42081000792",11
"183","42081000782",11
"184","42081000752",11
"185","42081000762",11
"186","42081000702",11
"187","42031000010",13
"188","42031000020",13
"189","42031000500",13
"190","42091003384",4
"191","42091003382",4
"192","42015000010",11
"193","42015000020",11
"194","42015000030",11
"195","42015000040",11
"196","42015000610",11
"197","42015000100",11
"198","42015000080",11
"199","42015000090",11
"200","42015000050",11
"201","42015000110",11
"202","42015000070",11
"203","42015000120",11
"204","42015000060",11
"205","42015000140",11
"206","42015000130",11
"207","42015000150",11
"208","42015000160",11
"209","42015000170",11
"210","42015000190",11
"211","42015000200",11
"212","42015000180",11
"213","42015000210",11
"214","42015000230",11
"215","42015000220",11
"216","42015000240",11
"217","42015000250",11
"218","42015000260",11
"219","42015000270",11
"220","42015000280",11
"221","42015000290",11
"222","42057000010",12
"223","42057000020",12
"224","42057000030",12
"225","42057000040",12
"226","42057000050",12
"227","42057000060",12
"228","42057000070",12
"229","42057000080",12
"230","42057000090",12
"231","42057000110",12
"232","42057000100",12
"233","42057000130",12
"234","42015000310",11
"235","42015000300",11
"236","42015000340",11
"237","42015000330",11
"238","42015000360",11
"239","42015000350",11
"240","42015000320",11
"241","42015000370",11
"242","42015000380",11
"243","42015000390",11
"244","42015000400",11
"245","42015000410",11
"246","42015000420",11
"247","42015000430",11
"248","42015000440",11
"249","42015000450",11
"250","42015000490",11
"251","42015000470",11
"252","42015000460",11
"253","42015000480",11
"254","42015000510",11
"255","42015000500",11
"256","42015000520",11
"257","42015000530",11
"258","42015000540",11
"259","42015000550",11
"260","42015000560",11
"261","42015000570",11
"262","42015000580",11
"263","42015000600",11
"264","42015000590",11
"265","42129001684",14
"266","42129001694",14
"267","42129001682",14
"268","42129001692",14
"269","42047000170",13
"270","42047000140",13
"271","42047000160",13
"272","42047000200",13
"273","42047000190",13
"274","42047000210",13
"275","42047000242",13
"276","42047000250",13
"277","42047000262",13
"278","42047000230",13
"279","42047000220",13
"280","42047000355",13
"281","42047000395",13
"282","42047000375",13
"283","42047000315",13
"284","42047000325",13
"285","42047000385",13
"286","42047000295",13
"287","42047000335",13
"288","42047000365",13
"289","42047000345",13
"290","42047000010",13
"291","42047000070",13
"292","42047000080",13
"293","42047000090",13
"294","42047000100",13
"295","42047000110",13
"296","42047000122",13
"297","42047000150",13
"298","42029000037",5
"299","42029000610",6
"300","42029000036",5
"301","420111578P1",9
"302","42011000020",9
"303","42011000032",9
"304","42011000570",9
"305","42011000056",9
"306","42011000054",9
"307","42011000040",9
"308","42011000034",9
"309","42011000051",9
"310","42011000058",9
"311","42011000060",4
"312","42011000052",9
"313","42011000070",4
"314","42011000120",9
"315","42011000100",9
"316","42011000110",9
