"","GEOID20","DISTRICTNO"
"1","42001000170",13
"2","42001000190",13
"3","42001000200",13
"4","42001000260",13
"5","42001000230",13
"6","42001000270",13
"7","42001000310",13
"8","42001000320",13
"9","42001000330",13
"10","42001000370",13
"11","42001000380",13
"12","42001000390",13
"13","42001000425",13
"14","42001000450",13
"15","42001000440",13
"16","42001000460",13
"17","42001000480",13
"18","42001000240",13
"19","42001000280",13
"20","42001000340",13
"21","42001000360",13
"22","42001000350",13
"23","42001000385",13
"24","42001000400",13
"25","42001000410",13
"26","42001000427",13
"27","42001000290",13
"28","42001000010",13
"29","42001000040",13
"30","42001000020",13
"31","42001000030",13
"32","42001000050",13
"33","42001000070",13
"34","42001000490",13
"35","42001000082",13
"36","42001000078",13
"37","42001000060",13
"38","42001000090",13
"39","42001000100",13
"40","42001000130",13
"41","42001000110",13
"42","42001000120",13
"43","42001000140",13
"44","42001000150",13
"45","42001000160",13
"46","42001000180",13
"47","42079000025",8
"48","42079000010",8
"49","42079000060",8
"50","42079000050",8
"51","42079000070",8
"52","42079000083",8
"53","42079000080",8
"54","42079000088",8
"55","42079000095",8
"56","42079000120",8
"57","42079000180",8
"58","42051000536",17
"59","42051001072",17
"60","42035000010",9
"61","42035000020",9
"62","42035000030",9
"63","42035000370",9
"64","42035000040",9
"65","42035000050",9
"66","42035000060",9
"67","42035000070",9
"68","42035000080",9
"69","42035000090",9
"70","42035000100",9
"71","42035000110",9
"72","42035000120",9
"73","42035000130",9
"74","42035000140",9
"75","42035000150",9
"76","42035000160",9
"77","42035000170",9
"78","42035000180",9
"79","42035000210",9
"80","42035000190",9
"81","42035000220",9
"82","42035000200",9
"83","42035000230",9
"84","42035000250",9
"85","42035000265",9
"86","42035000240",9
"87","42035000280",9
"88","42035000290",9
"89","42035000300",9
"90","42035000315",9
"91","42035000340",9
"92","42035000350",9
"93","42035000360",9
"94","42089000162",8
"95","42089000164",8
"96","42115000010",9
"97","42115000020",9
"98","42115000430",9
"99","42115000030",9
"100","42115000360",9
"101","42115000040",9
"102","42115000050",9
"103","42115000060",9
"104","42067000010",10
"105","42067000020",10
"106","42067000030",10
"107","42067000200",10
"108","42067000040",10
"109","42067000050",10
"110","42067000071",10
"111","42067000090",10
"112","42067000100",10
"113","42067000110",10
"114","42067000120",10
"115","42067000130",10
"116","42067000140",10
"117","42067000150",10
"118","42067000160",10
"119","42067000170",10
"120","42067000180",10
"121","42067000190",10
"122","42025000015",8
"123","42025000040",8
"124","42025000050",8
"125","42025000062",8
"126","42025000070",8
"127","42025000058",8
"128","42025000100",8
"129","42025000090",8
"130","42025000460",8
"131","42025000080",8
"132","42025000130",8
"133","42025000120",8
"134","42025000110",8
"135","42025000140",8
"136","42025000150",8
"137","42025000160",8
"138","42025000180",8
"139","42025000200",8
"140","42025000190",8
"141","42025000210",8
"142","42025000220",8
"143","42025000170",8
"144","42025000240",8
"145","42025000250",8
"146","42025000230",8
"147","42025000258",8
"148","42025000262",8
"149","42025000280",8
"150","42025000270",8
"151","42025000290",8
"152","42025000310",8
"153","42025000300",8
"154","42025000320",8
"155","42025000340",8
"156","42025000350",8
"157","42025000330",8
"158","42025000360",8
"159","42025000376",8
"160","42025000390",8
"161","42025000400",8
"162","42025000380",8
"163","42025000420",8
"164","42025000410",8
"165","42025000428",8
"166","42025000432",8
"167","42025000371",8
"168","42025000363",8
"169","42025000379",8
"170","42025000367",8
"171","42025000450",8
"172","42025000440",8
"173","42081000742",9
"174","42081000075",9
"175","42081000712",9
"176","42081000732",9
"177","42081000772",9
"178","42081000692",9
"179","42081000802",9
"180","42081000722",9
"181","42081000682",9
"182","42081000792",9
"183","42081000782",9
"184","42081000752",9
"185","42081000762",9
"186","42081000702",9
"187","42031000010",14
"188","42031000020",14
"189","42031000500",14
"190","42091003384",4
"191","42091003382",4
"192","42015000010",9
"193","42015000020",9
"194","42015000030",9
"195","42015000040",9
"196","42015000610",9
"197","42015000100",9
"198","42015000080",9
"199","42015000090",9
"200","42015000050",9
"201","42015000110",9
"202","42015000070",9
"203","42015000120",9
"204","42015000060",9
"205","42015000140",9
"206","42015000130",9
"207","42015000150",9
"208","42015000160",9
"209","42015000170",9
"210","42015000190",9
"211","42015000200",9
"212","42015000180",9
"213","42015000210",9
"214","42015000230",9
"215","42015000220",9
"216","42015000240",9
"217","42015000250",9
"218","42015000260",9
"219","42015000270",9
"220","42015000280",9
"221","42015000290",9
"222","42057000010",11
"223","42057000020",11
"224","42057000030",11
"225","42057000040",11
"226","42057000050",11
"227","42057000060",11
"228","42057000070",11
"229","42057000080",11
"230","42057000090",11
"231","42057000110",11
"232","42057000100",11
"233","42057000130",11
"234","42015000310",9
"235","42015000300",9
"236","42015000340",9
"237","42015000330",9
"238","42015000360",9
"239","42015000350",9
"240","42015000320",9
"241","42015000370",9
"242","42015000380",9
"243","42015000390",9
"244","42015000400",9
"245","42015000410",9
"246","42015000420",9
"247","42015000430",9
"248","42015000440",9
"249","42015000450",9
"250","42015000490",9
"251","42015000470",9
"252","42015000460",9
"253","42015000480",9
"254","42015000510",9
"255","42015000500",9
"256","42015000520",9
"257","42015000530",9
"258","42015000540",9
"259","42015000550",9
"260","42015000560",9
"261","42015000570",9
"262","42015000580",9
"263","42015000600",9
"264","42015000590",9
"265","42129001684",17
"266","42129001694",17
"267","42129001682",17
"268","42129001692",17
"269","42047000170",11
"270","42047000140",11
"271","42047000160",11
"272","42047000200",11
"273","42047000190",11
"274","42047000210",11
"275","42047000242",11
"276","42047000250",11
"277","42047000262",11
"278","42047000230",11
"279","42047000220",11
"280","42047000355",11
"281","42047000395",11
"282","42047000375",11
"283","42047000315",11
"284","42047000325",11
"285","42047000385",11
"286","42047000295",11
"287","42047000335",11
"288","42047000365",11
"289","42047000345",11
"290","42047000010",11
"291","42047000070",11
"292","42047000080",11
"293","42047000090",11
"294","42047000100",11
"295","42047000110",11
"296","42047000122",11
"297","42047000150",11
"298","42029000037",3
"299","42029000610",3
"300","42029000036",3
"301","420111578P1",7
"302","42011000020",7
"303","42011000032",7
"304","42011000570",7
"305","42011000056",7
"306","42011000054",7
"307","42011000040",7
"308","42011000034",7
"309","42011000051",7
"310","42011000058",7
"311","42011000060",7
"312","42011000052",7
"313","42011000070",7
"314","42011000120",7
"315","42011000100",7
"316","42011000110",7
"317","42011000080",7
"318","42011000090",7
"319","42011000140",7
"320","42011000130",7
"321","42011000150",7
"322","42011000170",7
"323","42011000192",7
"324","42011000212",7
"325","42011000208",7
"326","42011001694",7
"327","42011000250",7
"328","42011000310",7
"329","42011000330",7
"330","42011000355",7
"331","42011000395",7
"332","42011000358",7
"333","42011000380",7
"334","42011000392",7
"335","42011000420",7
"336","42011000430",7
"337","42011000460",7
"338","42011000480",7
"339","42011000510",7
"340","42011000580",7
"341","42011000590",7
"342","42011001640",7
"343","42011001630",7
"344","42011000540",7
"345","42011000545",7
"346","42011000610",7
"347","42011000600",7
"348","42011000618",7
"349","42011000623",7
"350","42011000628",7
"351","42011000640",7
"352","42011000652",7
"353","42011000646",7
"354","42011000662",7
"355","42011000654",7
"356","42011000700",7
"357","42011000690",7
"358","42011000776",7
"359","42011000767",7
"360","42011000785",7
"361","42011000810",7
"362","42011000742",7
"363","42011000782",7
"364","42011000730",7
"365","42011000830",7
"366","42011000850",7
"367","42011001390",7
"368","42011001330",7
"369","42011001160",7
"370","42011001130",7
"371","42011001405",7
"372","42011001418",7
"373","42011001438",7
"374","42011001442",7
"375","42011000960",7
"376","42011000920",7
"377","42011001285",7
"378","42011001250",7
"379","42011001070",7
"380","42011001050",7
"381","42011001452",7
"382","42011001580",7
"383","42011001480",7
"384","42011000885",7
"385","42011000980",7
"386","42011001305",7
"387","42011001495",7
"388","42011001487",7
"389","42011001578",7
"390","42011001550",7
"391","42011001571",7
"392","42011001558",7
"393","42011001010",7
"394","42011001230",7
"395","42011001520",7
"396","42011001485",7
"397","42011001510",7
"398","42011001030",7
"399","42011001660",7
"400","42011001795",7
"401","42011001775",7
"402","42011001770",7
"403","42011001060",7
"404","42011001790",7
"405","42011001670",7
"406","42011001680",7
"407","42011001692",7
"408","42011001700",7
"409","42011001715",7
"410","42011001705",7
"411","42011001750",7
"412","42011001760",7
"413","42011000160",7
"414","42011000180",7
"415","42011000188",7
"416","42011000200",7
"417","42011000220",7
"418","42011000230",7
"419","42011000295",7
"420","42011000280",7
"421","42011000292",7
"422","42011000260",7
"423","42011000270",7
"424","42011000320",7
"425","42011000340",7
"426","42011000406",7
"427","42011000365",7
"428","42011000402",7
"429","42011000399",7
"430","42011000397",7
"431","42011000384",7
"432","42011000410",7
"433","42011000388",7
"434","42011000440",7
"435","42011000450",7
"436","42011000470",7
"437","42011000490",7
"438","42011000500",7
"439","42011000520",7
"440","42011000670",7
"441","42011000680",7
"442","42011000710",7
"443","42011000720",7
"444","42011000750",7
"445","42011000779",7
"446","42011000790",7
"447","42011000800",7
"448","42011000770",7
"449","42011000760",7
"450","42011000820",7
"451","42011000771",7
"452","42011000840",7
"453","42011001370",7
"454","42011001380",7
"455","42011001360",7
"456","42011001185",7
"457","42011001140",7
"458","42011001145",7
"459","42011001110",7
"460","42011001398",7
"461","42011001412",7
"462","42011001430",7
"463","42011001120",7
"464","42011001350",7
"465","42011000970",7
"466","42011000930",7
"467","42011001340",7
"468","42011000940",7
"469","42011000860",7
"470","42011001260",7
"471","42011001080",7
"472","42011001040",7
"473","42011001310",7
"474","42011001448",7
"475","42011001460",7
"476","42011001470",7
"477","42011001020",7
"478","42011000990",7
"479","42011000910",7
"480","42011001095",7
"481","42011000880",7
"482","42011001502",7
"483","42011001477",7
"484","42011001574",7
"485","42011001576",7
"486","42011001530",7
"487","42011001560",7
"488","42011001579",7
"489","42011001572",7
"490","42011001000",7
"491","42011001210",7
"492","42011001240",7
"493","42011001540",7
"494","42011001220",7
"495","42011001170",7
"496","42011001610",7
"497","42011001620",7
"498","42011001650",7
"499","42011001780",7
"500","42109000010",10
"501","42109000020",10
"502","42109000030",10
"503","42109000040",10
"504","42109000050",10
"505","42109000060",10
"506","42109000080",10
"507","42109000090",10
"508","42109000100",10
"509","42109000110",10
"510","42109000130",10
"511","42109000140",10
"512","42109000150",10
"513","42109000155",10
"514","42109000165",10
"515","42109000170",10
"516","42109000180",10
"517","42109000200",10
"518","42109000190",10
"519","42109000220",10
"520","42109000230",10
"521","42109000240",10
"522","42109000250",10
"523","42109000260",10
"524","42109000270",10
"525","42021000060",11
"526","42021000025",11
"527","42021000055",11
"528","42021000010",11
"529","42021000080",11
"530","42021000090",11
"531","42021000430",11
"532","42021000440",11
"533","42021001900",11
"534","42021000280",11
"535","42021001910",11
"536","42021000695",11
"537","42021001146",11
"538","42021000881",11
"539","42021000966",11
"540","42021000250",11
"541","42021001041",11
"542","42021001060",11
"543","42021000210",11
"544","42021000220",11
"545","42021000260",11
"546","42021000175",11
"547","42021001105",11
"548","42021000270",11
"549","42021000305",11
"550","42021000335",11
"551","42021000420",11
"552","42021000325",11
"553","42021000350",11
"554","42021000390",11
"555","42021000540",11
"556","42021000520",11
"557","42021000560",11
"558","42021000595",11
"559","42021000615",11
"560","42021001230",11
"561","42021000730",11
"562","42021001220",11
"563","42021001241",11
"564","42021001280",11
"565","42021001321",11
"566","42021001490",11
"567","42021001505",11
"568","42021001340",11
"569","42021001350",11
"570","42021001555",11
"571","42021001510",11
"572","42021001540",11
"573","42021001395",11
"574","42021001361",11
"575","42021001380",11
"576","42021001385",11
"577","42021001405",11
"578","42021001880",11
"579","42021001890",11
"580","42021001951",11
"581","42021001941",11
"582","42021001931",11
"583","42021001580",11
"584","42021001595",11
"585","42021001616",11
"586","42021001660",11
"587","42021001995",11
"588","42021001720",11
"589","42021001730",11
"590","42021001760",11
"591","42021001785",11
"592","42021001851",11
"593","42021001860",11
"594","42021002010",11
"595","42021000826",11
"596","42021000786",11
"597","42021001920",11
"598","42021001055",11
"599","42021001016",11
"600","42021000154",11
"601","42021001035",11
"602","42021001155",11
"603","42021000200",11
"604","42021000190",11
"605","42021001125",11
"606","42021001190",11
"607","42021000457",11
"608","42021000235",11
"609","42021000290",11
"610","42021001290",11
"611","42021000675",11
"612","42021000660",11
"613","42021000315",11
"614","42021000405",11
"615","42021000367",11
"616","42021000530",11
"617","42131000175",9
"618","42097000560",9
"619","42097000872",9
"620","42097000871",9
"621","42117000350",9
"622","42021000550",11
